[2026-06-27T22:03:29.966Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1q563dm.js → 304 (68ms, ?B)
[2026-06-27T22:03:30.033Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (3ms, ?B)
[2026-06-27T22:03:30.033Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 304 (3ms, ?B)
[2026-06-27T22:03:30.034Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-06-27T22:03:31.185Z] GET http://localhost:3000/dashboard → 200 (323ms, 22958B)
[2026-06-27T22:03:31.513Z] GET http://localhost:3000/_next/static/media/0c8f209abc35ee02-s.p.0c0g8ifvh7k7-.woff2 → 200 (?ms, ?B)
[2026-06-27T22:03:31.513Z] GET http://localhost:3000/_next/static/media/5c285b27cdda1fe8-s.p.2_mbdogr7ni8i.woff2 → 200 (?ms, ?B)
[2026-06-27T22:03:31.514Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (3ms, ?B)
[2026-06-27T22:03:31.517Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1azprly._.css → 304 (14ms, ?B)
[2026-06-27T22:03:31.517Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (70ms, ?B)
[2026-06-27T22:03:31.517Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.517Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.517Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.519Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 304 (71ms, ?B)
[2026-06-27T22:03:31.519Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.519Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.519Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.519Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.519Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 304 (72ms, ?B)
[2026-06-27T22:03:31.522Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 304 (70ms, ?B)
[2026-06-27T22:03:31.522Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 304 (70ms, ?B)
[2026-06-27T22:03:31.522Z] GET http://localhost:3000/_next/static/chunks/_08zpqiu._.js → 200 (76ms, 108576B)
[2026-06-27T22:03:31.522Z] GET http://localhost:3000/_next/static/chunks/src_app_dashboard_page_tsx_1q563dm._.js → 200 (75ms, 241B)
[2026-06-27T22:03:31.522Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1q563dm.js → 304 (70ms, ?B)
[2026-06-27T22:03:31.606Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (24ms, ?B)
[2026-06-27T22:03:31.607Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 304 (23ms, ?B)
[2026-06-27T22:03:31.629Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-27T22:05:18.961Z] GET http://localhost:3000/dashboard → 200 (107ms, 22958B)
[2026-06-27T22:05:19.180Z] GET http://localhost:3000/_next/static/media/0c8f209abc35ee02-s.p.0c0g8ifvh7k7-.woff2 → 200 (1ms, ?B)
[2026-06-27T22:05:19.190Z] GET http://localhost:3000/_next/static/media/5c285b27cdda1fe8-s.p.2_mbdogr7ni8i.woff2 → 200 (?ms, ?B)
[2026-06-27T22:05:19.203Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, ?B)
[2026-06-27T22:05:19.204Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1azprly._.css → 304 (12ms, ?B)
[2026-06-27T22:05:19.204Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 200 (19ms, 675B)
[2026-06-27T22:05:19.204Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (53ms, 746600B)
[2026-06-27T22:05:19.204Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (51ms, 1057980B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (50ms, 174652B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (50ms, 144344B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (52ms, 748194B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 200 (52ms, 248032B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (52ms, 1984B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (52ms, 756B)
[2026-06-27T22:05:19.207Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 200 (54ms, 92351B)
[2026-06-27T22:05:19.215Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 200 (46ms, 208717B)
[2026-06-27T22:05:19.215Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 200 (46ms, 315B)
[2026-06-27T22:05:19.215Z] GET http://localhost:3000/_next/static/chunks/_08zpqiu._.js → 200 (48ms, 108576B)
[2026-06-27T22:05:19.216Z] GET http://localhost:3000/_next/static/chunks/src_app_dashboard_page_tsx_1q563dm._.js → 200 (46ms, 241B)
[2026-06-27T22:05:19.216Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1q563dm.js → 200 (45ms, 212B)
[2026-06-27T22:05:19.347Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (73ms, 15615B)
[2026-06-27T22:05:19.347Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 200 (73ms, 289B)
[2026-06-27T22:05:19.423Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-27T22:08:47.453Z] GET http://localhost:3000/dashboard → pending (?ms, ?B)
[2026-06-27T22:18:21.172Z] GET http://localhost:3000/ → 200 (303ms, ?B)
[2026-06-27T22:18:21.723Z] GET http://localhost:3000/_next/static/media/0c8f209abc35ee02-s.p.0c0g8ifvh7k7-.woff2 → 200 (31ms, 17844B)
[2026-06-27T22:18:21.723Z] GET http://localhost:3000/_next/static/media/5c285b27cdda1fe8-s.p.2_mbdogr7ni8i.woff2 → 200 (31ms, 36980B)
[2026-06-27T22:18:21.723Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (31ms, 23108B)
[2026-06-27T22:18:21.723Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1azprly._.css → 200 (4ms, 17681B)
[2026-06-27T22:18:21.723Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 200 (38ms, 675B)
[2026-06-27T22:18:21.723Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (149ms, 746600B)
[2026-06-27T22:18:21.725Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (147ms, 1057980B)
[2026-06-27T22:18:21.725Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (36ms, 174652B)
[2026-06-27T22:18:21.725Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (36ms, 144344B)
[2026-06-27T22:18:21.725Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (146ms, 748194B)
[2026-06-27T22:18:21.725Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 200 (37ms, 248032B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (36ms, 1984B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (146ms, 756B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 200 (150ms, 92351B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 200 (150ms, 208717B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 200 (150ms, 315B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/_1ahmk9-._.js → 200 (157ms, 100238B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_1q563dm._.js → 200 (150ms, 241B)
[2026-06-27T22:18:21.726Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1q563dm.js → 200 (151ms, 212B)
[2026-06-27T22:18:22.004Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (17ms, 15615B)
[2026-06-27T22:18:22.004Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 200 (16ms, 289B)
[2026-06-27T22:18:22.990Z] GET http://localhost:3000/dashboard → 200 (84ms, 22958B)
[2026-06-27T22:18:23.077Z] GET http://localhost:3000/_next/static/media/0c8f209abc35ee02-s.p.0c0g8ifvh7k7-.woff2 → 200 (?ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/media/5c285b27cdda1fe8-s.p.2_mbdogr7ni8i.woff2 → 200 (?ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.0r6juujl39pe6.woff2 → 200 (?ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1azprly._.css → 304 (7ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (30ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (4ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (8ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 304 (30ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 304 (31ms, ?B)
[2026-06-27T22:18:23.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 304 (31ms, ?B)
